trial_id,trial_name,sponsor_name,phase,therapeutic_area,status,start_date,end_date,updated_at
T001,XELIV-301,NovaBio Pharma,Phase III,Oncology,Completed,2021-06-01,2024-01-31,2024-02-01
T002,PLCN-102,GeneTech Labs,Phase II,Immunology,Active,2022-03-01,,2025-01-10
T003,RELU-409,CardioRx Inc,Phase IV,Cardiology,Recruiting,2024-09-01,,2025-03-01
T004,TRI-210,Vertex Med,Phase II,Pain Management,Terminated,2021-01-01,2022-07-15,2022-07-15
T005,IMMU-220,GeneTech Labs,Phase III,Immunology,Active,2023-02-01,,2025-04-01
T006,ENDO-118,Stanford Bio,Phase II,Endocrinology,Recruiting,2024-06-01,,2025-05-01
T007,PULM-305,RespireRx,Phase III,Pulmonology,Active,2023-09-15,,2025-03-15
T008,ONCO-410,MD Anderson Research,Phase IV,Oncology,Completed,2020-01-01,2023-12-31,2024-01-15
T009,RHEU-201,Duke Therapeutics,Phase II,Rheumatology,Active,2024-01-10,,2025-04-20
T010,CARD-330,Baylor Cardio,Phase III,Cardiology,Recruiting,2024-10-01,,2025-05-10
